方案,库存成本,延期成本,设置成本,总成本(库存+延期+设置),调度可行率,平均反馈迭代次数,订单准时率,加班时长(min),期末欠交(件)
"ω=(0.50,0.30,0.20)",15.0,1136.0,2820.0,3971.0,1.0,1.6,0.75,0.0,10.0
"ω=(0.20,0.30,0.50)",14.0,1428.0,2880.0,4322.0,1.0,1.7,0.75,0.0,10.0
"ω=(0.34,0.33,0.33)",20.0,1440.0,2830.0,4290.0,1.0,1.8,0.7857,0.0,7.0
