方案,库存成本,延期成本,设置成本,总成本(库存+延期+设置),调度可行率,平均反馈迭代次数,订单准时率,加班时长(min),期末欠交(件)
方案A,0.0,12342.0,610.0,12952.0,1.0,0.0,0.25,0.0,283.0
方案B,0.0,0.0,3100.0,3100.0,0.8,0.0,1.0,589.8,0.0
方案C,14.0,1184.0,2820.0,4018.0,1.0,1.6,0.75,0.0,10.0
方案D,12.0,1092.0,2820.0,3924.0,1.0,1.4,0.75,0.0,10.0
